Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Bengali,4,0,210.0,296.09205199813005,203.9020000374876,501.60279095871374,126.0,0.07228508377098701,0.0,270,270,500,500,500,500,500,500,500,500,500
POST,Hindi,1,0,237.9325830261223,237.9325830261223,237.9325830261223,237.9325830261223,125.0,0.018071270942746753,0.0,240,240,240,240,240,240,240,240,240,240,240
POST,Malayalam,3,0,290.0,296.94536099365604,192.4941249890253,412.99974999856204,129.0,0.05421381282824026,0.0,290,290,410,410,410,410,410,410,410,410,410
POST,Marathi,1,0,248.14416700974107,248.14416700974107,248.14416700974107,248.14416700974107,126.0,0.018071270942746753,0.0,250,250,250,250,250,250,250,250,250,250,250
POST,Telugu,1,0,208.8145000161603,208.8145000161603,208.8145000161603,208.8145000161603,128.0,0.018071270942746753,0.0,210,210,210,210,210,210,210,210,210,210,210
,Aggregated,10,0,240.0,277.0095541025512,192.4941249890253,501.60279095871374,127.0,0.18071270942746753,0.0,250,270,290,410,500,500,500,500,500,500,500
