Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Bengali,114,0,210.0,245.3315832791033,163.94866700284183,1529.3106670142151,126.0,0.380709761054851,0.0,210,220,240,250,310,450,700,870,1500,1500,1500
POST,Gujarati,130,0,220.0,291.1572092579893,175.8684579981491,1747.986874950584,126.0,0.43414270997483007,0.0,220,240,270,330,530,670,1000,1100,1700,1700,1700
POST,Hindi,128,0,200.0,239.65768069729165,161.0686670173891,972.0282089547254,125.0,0.4274635913598327,0.0,200,220,240,270,330,490,650,780,970,970,970
POST,Kannada,121,0,210.0,262.39526649977444,164.57608301425353,1795.5580000416376,128.0,0.40408667620734184,0.0,210,230,240,250,390,520,690,980,1800,1800,1800
POST,Malayalam,123,0,210.0,235.5965843785751,162.73445799015462,619.759209046606,129.0,0.4107657948223392,0.0,210,220,240,260,330,370,550,620,620,620,620
POST,Marathi,115,0,210.0,244.41445510399163,173.085207992699,1159.7442079801112,126.0,0.3840493203623497,0.0,210,220,240,260,320,410,710,740,1200,1200,1200
POST,Odia,133,1,220.0,266.6291528958232,120.47520896885544,1203.5890410188586,126.0827067669173,0.4441613878973262,0.003339559307498693,220,230,250,280,440,620,660,860,1200,1200,1200
POST,Punjabi,123,0,220.0,266.4206405804394,171.3818340213038,1619.5157920010388,131.0,0.4107657948223392,0.0,220,230,250,270,410,530,680,740,1600,1600,1600
POST,Tamil,112,0,210.0,253.5284278222077,165.40950001217425,777.3142500082031,126.0,0.3740306424398536,0.0,210,240,250,260,400,540,670,730,780,780,780
POST,Telugu,104,0,210.0,249.8883870004927,156.96787502383813,804.7409579739906,128.0,0.3473141679798641,0.0,210,220,240,260,400,520,680,770,800,800,800
,Aggregated,1203,1,210.0,255.98111602600434,120.47520896885544,1795.5580000416376,127.09476309226933,4.0174898469209275,0.003339559307498693,210,230,240,260,370,540,690,860,1700,1800,1800
