Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Gujarati,2,0,260.0,565.6977710023057,258.3515419973992,873.0440000072122,126.0,0.03611718913195437,0.0,870,870,870,870,870,870,870,870,870,870,870
POST,Hindi,1,0,208.798166946508,208.798166946508,208.798166946508,208.798166946508,125.0,0.018058594565977186,0.0,210,210,210,210,210,210,210,210,210,210,210
POST,Kannada,2,0,230.21116701420397,245.31093749101274,230.21116701420397,260.4107079678215,128.0,0.03611718913195437,0.0,260,260,260,260,260,260,260,260,260,260,260
POST,Malayalam,5,0,200.0,211.7770669865422,184.55775000620633,280.328708991874,129.0,0.09029297282988594,0.0,200,210,210,280,280,280,280,280,280,280,280
POST,Marathi,1,0,212.9203750519082,212.9203750519082,212.9203750519082,212.9203750519082,126.0,0.018058594565977186,0.0,210,210,210,210,210,210,210,210,210,210,210
POST,Odia,4,0,210.0,564.5987710158806,201.462667027954,1456.0556249925867,126.0,0.07223437826390874,0.0,390,390,1500,1500,1500,1500,1500,1500,1500,1500,1500
POST,Punjabi,3,0,210.96408396260813,214.82687501702458,210.96408396260813,222.36325003905222,131.0,0.05417578369793156,0.0,210,210,220,220,220,220,220,220,220,220,220
POST,Tamil,1,0,188.43358400044963,188.43358400044963,188.43358400044963,188.43358400044963,126.0,0.018058594565977186,0.0,190,190,190,190,190,190,190,190,190,190,190
,Aggregated,19,0,210.0,325.99634668593734,184.55775000620633,1456.0556249925867,127.73684210526316,0.34311329675356655,0.0,210,230,260,280,870,1500,1500,1500,1500,1500,1500
