Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Bengali,27,0,210.0,234.2784102965433,179.55687499852502,535.7530410001345,126.0,0.15110671058217115,0.0,210,220,240,250,290,390,540,540,540,540,540
POST,Gujarati,21,0,230.0,237.47804766632422,201.3315420008439,407.69962500053225,126.0,0.11752744156391089,0.0,230,230,230,230,250,290,410,410,410,410,410
POST,Hindi,15,0,200.0,208.66014999968078,170.3992910006491,343.05083300205297,125.0,0.08394817254565064,0.0,200,210,220,220,220,340,340,340,340,340,340
POST,Kannada,27,0,220.0,232.78978533306616,185.09583299965016,363.2893750000221,128.0,0.15110671058217115,0.0,220,230,250,260,330,350,360,360,360,360,360
POST,Malayalam,19,0,220.0,215.84040136823253,174.01908299871138,246.3327500008745,129.0,0.10633435189115746,0.0,220,220,230,230,240,250,250,250,250,250,250
POST,Marathi,15,0,220.0,222.7012805339958,178.13541600116878,336.85416700245696,126.0,0.08394817254565064,0.0,220,220,230,240,260,340,340,340,340,340,340
POST,Odia,27,0,220.0,234.36498622241845,184.3017079991114,421.6932090021146,126.0,0.15110671058217115,0.0,220,230,230,240,280,400,420,420,420,420,420
POST,Punjabi,26,0,230.0,249.9006505766794,193.1468330003554,529.6864170013578,131.0,0.14551016574579442,0.0,230,240,260,270,320,330,530,530,530,530,530
POST,Tamil,24,0,220.0,242.67854166676747,171.44529199867975,436.26470799790695,126.0,0.13431707607304103,0.0,230,230,240,250,410,420,440,440,440,440,440
POST,Telugu,26,0,210.0,224.0609453848055,186.75795799936168,357.45991699877777,128.0,0.14551016574579442,0.0,210,220,230,240,260,350,360,360,360,360,360
,Aggregated,227,0,220.0,231.91370259911963,170.3992910006491,535.7530410001345,127.22466960352423,1.2704156778575129,0.0,220,230,240,240,290,350,420,440,540,540,540
