Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Bengali,10,0,200.0,201.78937079981552,186.05370799923548,247.73716699928627,126.0,0.1708551489001223,0.0,200,200,200,210,250,250,250,250,250,250,250
POST,Gujarati,2,0,220.0,346.17202099980204,217.91545800078893,474.42858399881516,126.0,0.03417102978002446,0.0,470,470,470,470,470,470,470,470,470,470,470
POST,Hindi,5,0,270.0,267.39484179997817,194.0797079987533,352.8891250025481,125.0,0.08542757445006115,0.0,270,270,270,350,350,350,350,350,350,350,350
POST,Kannada,7,0,210.0,208.11853557097493,192.02587499967194,224.68270800163737,128.0,0.11959860423008561,0.0,210,210,210,210,220,220,220,220,220,220,220
POST,Malayalam,3,0,210.0,209.80916666788593,194.41050000023097,227.93245900174952,129.0,0.05125654467003669,0.0,210,210,230,230,230,230,230,230,230,230,230
POST,Marathi,7,0,270.0,301.0440417149636,209.1439169998921,498.9407500033849,126.0,0.11959860423008561,0.0,270,330,370,370,500,500,500,500,500,500,500
POST,Odia,3,0,200.0,194.50497233386463,175.41979200177593,212.50175000022864,126.0,0.05125654467003669,0.0,200,200,210,210,210,210,210,210,210,210,210
POST,Punjabi,3,0,220.0,223.42505566727291,216.69975000259,236.7972079991887,131.0,0.05125654467003669,0.0,220,220,240,240,240,240,240,240,240,240,240
POST,Tamil,4,0,210.0,218.9778957499584,202.26225000078557,239.6042500004114,126.0,0.06834205956004892,0.0,220,220,240,240,240,240,240,240,240,240,240
POST,Telugu,6,0,220.0,242.64668049969865,197.9442090014345,358.7282080006844,128.0,0.10251308934007337,0.0,220,220,240,240,360,360,360,360,360,360,360
,Aggregated,50,0,210.0,236.52718500008632,175.41979200177593,498.9407500033849,126.9,0.8542757445006115,0.0,210,220,240,250,350,370,500,500,500,500,500
