Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Hindi,2,0,194.89245803561062,292.24170799716376,194.89245803561062,389.5909579587169,125.0,0.03696933567393202,0.0,390,390,390,390,390,390,390,390,390,390,390
POST,Kannada,4,0,200.0,245.8611982583534,194.8485840111971,327.69095903495327,128.0,0.07393867134786404,0.0,260,260,330,330,330,330,330,330,330,330,330
POST,Punjabi,1,0,224.71829201094806,224.71829201094806,224.71829201094806,224.71829201094806,131.0,0.01848466783696601,0.0,220,220,220,220,220,220,220,220,220,220,220
POST,Tamil,2,0,190.0,195.93112502479926,186.12604204099625,205.73620800860226,126.0,0.03696933567393202,0.0,210,210,210,210,210,210,210,210,210,210,210
,Aggregated,9,0,210.0,242.7231945653653,186.12604204099625,389.5909579587169,127.22222222222223,0.1663620105326941,0.0,210,220,260,330,390,390,390,390,390,390,390
