Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Bengali,6,0,200.0,256.23078451220255,188.92333301482722,394.63779103243724,126.0,0.10177393459343119,0.0,210,210,350,350,390,390,390,390,390,390,390
POST,Gujarati,8,0,210.0,252.9246979902382,198.64129199413583,392.6142079872079,126.0,0.13569857945790825,0.0,220,230,380,380,390,390,390,390,390,390,390
POST,Hindi,8,0,200.0,251.77617175359046,177.54754098132253,372.2130830283277,125.0,0.13569857945790825,0.0,230,320,330,330,370,370,370,370,370,370,370
POST,Kannada,6,0,180.0,182.99402767055048,177.0258750184439,187.39020795328543,128.0,0.10177393459343119,0.0,190,190,190,190,190,190,190,190,190,190,190
POST,Malayalam,7,0,200.0,210.4154642854285,169.5743749733083,310.0178330205381,129.0,0.11873625702566973,0.0,200,210,210,210,310,310,310,310,310,310,310
POST,Marathi,7,0,210.0,223.67998801304824,190.55962504353374,281.73670801334083,126.0,0.11873625702566973,0.0,210,230,230,230,280,280,280,280,280,280,280
POST,Odia,7,0,200.0,196.9408095797657,185.52116700448096,209.46866704616696,126.0,0.11873625702566973,0.0,200,200,210,210,210,210,210,210,210,210,210
POST,Punjabi,10,0,210.0,212.91995851206593,197.25833303527907,234.60666701430455,131.0,0.16962322432238533,0.0,210,220,230,230,230,230,230,230,230,230,230
POST,Tamil,11,0,200.0,201.94509098920125,178.23441699147224,223.52366702398285,126.0,0.18658554675462385,0.0,200,200,210,210,220,220,220,220,220,220,220
POST,Telugu,8,0,190.0,200.61013538361294,179.12012501619756,237.2365000192076,128.0,0.13569857945790825,0.0,200,210,210,210,240,240,240,240,240,240,240
,Aggregated,78,0,200.0,218.53444017007206,169.5743749733083,394.63779103243724,127.16666666666667,1.3230611497146056,0.0,200,210,220,230,310,370,390,390,390,390,390
